date,description,amount,currency,id
2026-07-01,Slack Technologies,-23.65,AUD,5eafa1af387dfec4
2026-07-01,AWS Sydney,-209.05,AUD,b4a84da51f4a3a30
2026-07-02,Subscription Revenue,610.15,AUD,474ab65c1f2674cb
2026-07-02,Bank Fee,-9.98,AUD,1c11314cb671af32
2026-07-03,Rent - 42 St Georges Tce,-3406.29,AUD,6d4be85cbd3b4678
2026-07-04,Invoice Payment,4187.19,AUD,1e1032478531e454
2026-07-05,AWS Sydney,-218.64,AUD,5697d70d1916d6bb
2026-07-06,Client Payment,1055.12,AUD,d49f36249fbda427
2026-07-06,Superannuation,-1053.59,AUD,cff47eb638ada7c3
2026-07-07,Invoice Payment,4851.09,AUD,9d3d19d97701109d
2026-07-07,Telstra Mobile,-97.05,AUD,9fead443895ee954
2026-07-08,Slack Technologies,-27.22,AUD,9f7852f088921370
2026-07-09,Client Payment,902.71,AUD,d469435462fed663
2026-07-10,Bank Fee,-9.01,AUD,05cc9aacc117ee22
2026-07-11,Platform Fee Received,834.56,AUD,8a9f613b687c8126
2026-07-12,Superannuation,-1127.94,AUD,39b69345020d2481
2026-07-13,Subscription Revenue,542.84,AUD,77908ad7ea627220
2026-07-13,Officeworks,-128.73,AUD,be65f880be27a50e
2026-07-15,Client Payment,2443.96,AUD,1cc9a3d4c8d484b3
2026-07-17,AGL Energy,-166.22,AUD,62cd6063c3fce796
2026-07-18,Client Payment,1100.74,AUD,fe76d18a32cd6652
2026-07-18,Xero Subscription,-67.72,AUD,79ad601f73a5edc1
2026-07-19,Consulting Fee,7797.35,AUD,8d021ee46bd3f7fe
2026-07-19,Rent - 42 St Georges Tce,-3222.0,AUD,e2db746e4cbab1f7
2026-07-19,Xero Subscription,-75.92,AUD,24b04bc1fbf721d0
2026-07-20,PAYG Withholding,-2648.92,AUD,ba1447d38626dfc6
2026-07-21,Subscription Revenue,493.2,AUD,3d7e8e6c76f6f2c6
2026-07-22,Consulting Fee,9201.96,AUD,0d47c19ce4cdf82f
2026-07-24,AGL Energy,-194.66,AUD,07b333824567efbe
2026-07-26,AGL Energy,-176.74,AUD,712e7ce09196dc4c
2026-07-27,Google Ads,-517.84,AUD,08f2537c257de716
2026-07-28,Rent - 42 St Georges Tce,-3447.99,AUD,8e735daff96e0730
2026-07-29,Subscription Revenue,506.59,AUD,001fe3de0728ed82
2026-07-29,Telstra Mobile,-95.97,AUD,50912d20b5cd4d7d
2026-07-30,BPAY - Insurance,-471.87,AUD,b1a95d9f2c760ef2
